Date of fail,Product description,Country of origin,Producer name,Reason for fail,Results,Units,Reference,Category,Test applied,Holding order number
2020-05-19,Dried seaweed,China,Guangdong Shengfeng Limited Company,Iodine,2800,mg/kg,BSW 12/2016,Risk,,
2020-05-20,Toor dhal,Myanmar,Ays Mfg Co Ltd,Chlorpyrifos,0.027,mg/kg,FSC 1.4.2,Surveillance,,
2020-05-20,Mung dhal,Myanmar,Ays Mfg Co Ltd,Chlorpyrifos,0.042,mg/kg,FSC 1.4.2,Surveillance,,
2020-05-21,Seasoned pollock roe,Republic of Korea,Daesang Corporation,Vitamin C,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-05-26,Frozen Chinese spinach,China,Shanghai Xushun Foodstuff Co Ltd,Paclobutrazol,0.013,mg/kg,FSC 1.4.2,Surveillance,,
2020-05-26,Betel nut,Papua New Guinea,COLIN LANG TIMOTHY HO-LEONG,Areca catechu (Betel nut),Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-05-26,Betel nut,Papua New Guinea,MAGDALINE MAINO,Areca catechu (Betel nut),Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-05-26,Betel nut,Papua New Guinea,Shoreline Agri Supplies,Areca catechu (Betel nut),Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-05-26,Betel nut,Papua New Guinea,MAGDALINE MAINO,Areca catechu (Betel nut),Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-05-28,Roasted betel nut,Myanmar,Ausi Myanmar Company Limited,Betel nut (Areca catechu),Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-05-28,Pickled plums,Japan,Nagayama Foods Factory,Vitamin B1,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-05-29,Medan peanuts,Indonesia,Pt Rasa Sayang Ais Krim,Aflatoxin,0.043,mg/kg,NUT 11/2018,Risk,,
2020-05-29,Betel nut,Myanmar,Shwe Myanmar Investment And Commercial Co Ltd,Areca catechu (Betel nut),Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-05-29,Salted plums,Taiwan,"Shun Tai Food Co., Ltd",Lead,0.15,mg/kg,FSC 1.4.1,Surveillance,,
2020-05-29,Salted plums,Taiwan,"Shun Tai Food Co., Ltd",Lead,0.18,mg/kg,FSC 1.4.1,Surveillance,,
2020-06-03,Pickled turnip,Lebanon,Jean Raad for Industries and Trade,Additive E 127 (Erythrosine),Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-06-03,Canned yellow peaches,Republic of Korea,Sempio Food Company (Korea),Lead,0.14,mg/kg,FSC 1.4.1,Surveillance,,
2020-06-03,Frozen sesbania flowers,Vietnam,Saka Saka Company Limited,Chlorpyrifos,0.066,mg/kg,FSC 1.4.2,Surveillance,,
2020-06-08,Frozen cooked peeled prawns,Thailand,Lee Heng Seafood Co Ltd (Establishment 1177),Standard plate count,"1 000, 1 000 000, 71 000, 690 000, 190 000",cfu/g,CRU 03/2019,Risk,,
2020-06-09,Formulated supplementary sports food,United States,Dynamic Nutraceuticals,Dynamine,Unapproved novel food ,,FSC 1.5.1,Surveillance,,
2020-06-10,Peanut brittle,Pakistan,Oasis Corporation,Aflatoxin,0.028,mg/kg,NUT 11/2018,Risk,,
2020-06-10,Lemon soft drink,Republic of Korea,Kyungnampharm Co Ltd,"Vitamin C, B2 and B6",In excess of levels permitted,,FSC 1.3.2,Surveillance,,
2020-06-11,Maldive fish chips,Sri Lanka,Derana Marketing Services Pvt Ltd,Histamine,580,mg/kg,HIS 12/2016,Risk,,
2020-06-11,Frozen small red chillies,Vietnam,Nam Hai Company Ltd,Hexaconazole,0.051,mg/kg,FSC 1.4.2,Surveillance,,
2020-06-11,Smoked salmon,Poland,Bg Production Sp Zoo,Listeria monocytogenes,Detected,/125g,FSH 07/2018,Risk,,
2020-06-12,Tomato sauce,China,Dongguanshi Yongyi Food Co Ltd,Additive E 127 (Erythrosine),Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-06-12,Chinese spinach,China,Shanghai Xushun Foodstuff Co Ltd,Carbendazim,0.22,mg/kg,FSC 1.4.2,Surveillance,,
2020-06-12,Bonito flakes,Japan,Kaneshichi Co Ltd,Histamine,519,mg/kg,HIS 12/2016,Risk,,
2020-06-12,Cut lotus root,China,Fujian Ningde Yongjia Trade Co Ltd,Additive Vitamin C,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-06-12,Seaweed,China,Fuzhou Hailin Food Co Ltd,Iodine,2600,mg/kg,BSW 12/2016,Risk,,
2020-06-12,Sliced lotus root ,China,Fujian Ningde Yongjia Trade Co Ltd,Additive Vitamin C,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-06-12,Urad dal (black lentils),Myanmar,Ays Mfg Co Ltd,Chlorpyrifos,0.033,mg/kg,FSC 1.4.2,Surveillance,,
2020-06-12,Chinese spinach,China,Shanghai Xushun Foodstuff Co Ltd,Carbendazim,0.08,mg/kg,FSC 1.4.2,Surveillance,,
2020-06-15,Fresh garlic roots ,China,Jining New Silk Road Food Co Ltd,Carbendazaim,0.1,mg/kg,FSC 1.4.2,Surveillance,,
2020-06-16,Cassava chips,Indonesia,Pt.Arira Pangindo,Hydrocyanic acid,15,mg/kg,CAS 09/2019,Risk,,
2020-06-16,Cassava chips,Indonesia,Pt.Arira Pangindo,Hydrocyanic acid,12,mg/kg,CAS 09/2019,Risk,,
2020-06-19,Hot and spicy tuna,Philippines ,Century Pacific Group,Additive Vitamin A (retinyl palmitate),Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-06-22,Compostelle cheese,France,Agour Distrib Sarl 64640 F64259100cee (Helette France),Listeria monocytogenes,Detected,/125g,CHE 07/2018,Risk,,
2020-06-22,Frozen mussel meat,Chile,Blue Shell S.A.,E. coli,"17, 2, 5, <2, <2",mpn/g,MOL 04/2017,Risk,,
2020-06-23,Frozen grated small red chillies,Vietnam,Nam Hai Company Ltd,Difenoconazole,0.09,mg/kg,FSC 1.4.2,Surveillance,,
2020-06-24,Rice cake,Japan,Kyoshin Seika,Colour additives safflower yellow and gardenia blue ,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-06-24,Honey,Turkey,Balparmak Gida & Sekerleme,Reducing sugars,58,%,FSC 2.8.2,Risk,,
2020-06-24,Rice cake,Japan,Kyoshin Seika,Colour additive gardenia blue ,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-06-24,Fresh onion flowers,China,Guangzhou Linqi Trading Co Ltd,Cyhalothrin,0.1,mg/kg,FSC 1.4.2,Surveillance,,
2020-06-24,Salted peanuts,China,"Dongguan City Shaerge Food Co., Ltd",Aflatoxin,0.25,mg/kg,NUT 11/2018,Risk,,
2020-06-25,Maldive fish chips,Sri Lanka,Derana Marketing Services Pvt Ltd,Histamine,300,mg/kg,HIS 12/2016,Risk,,
2020-06-26,Frozen shredded Chinese spinach,China,Shanghai Xushun Foodstuff Co Ltd, Carbendazim,0.14,mg/kg,FSC 1.4.2,Surveillance,,
2020-06-26,Grated coconut,India,Parayil Food Products,Salmonella,Detected,/250g,FSC 1.6.1,Surveillance,,
2020-06-26,Preserved bean curd,China,Royi (Hk) Industrial Co Ltd,Bacillus cereus,"1 700, >15 000, 1 500, 1 000, 1 400",cfu/g,Imported Food Control Act section 3(2),Surveillance,,
2020-06-26,Frozen shredded Chinese spinach,China,Shanghai Xushun Foodstuff Co Ltd, Carbendazim,0.28,mg/kg,FSC 1.4.2,Surveillance,,
2020-06-29,Peanut candy ball,India,Malabar Natural Foods Pvt Ltd,Aflatoxin,0.156,mg/kg,NUT 11/2018,Risk,,
2020-06-29,Preserved chilli bean curd,China,"Lihuajin Co., Limited",Bacillus cereus,"<100, 200, 2 000, 9 500, 9 100",cfu/g,Imported Food Control Act section 3(2),Surveillance,,
2020-06-29,Peanut candy bar,India,Malabar Natural Foods Pvt Ltd,Aflatoxin,0.019,mg/kg,NUT 11/2018,Risk,,
2020-07-01,Frozen vegetable tindora,India,Parayil Food Products,Monocrotophos,0.21,mg/kg,FSC 1.4.2,Surveillance,,
2020-07-01,Door dal ,India,Batra Enterprises,Chlorpyrifos,0.013,mg/kg,,Surveillance,,
2020-07-01,Moong dhuli (lentils),India,Batra Enterprises,Chlorpyrifos,0.121,mg/kg,FSC 1.4.2,Surveillance,,
2020-07-01,Frozen vegetable tindora,India,Parayil Food Products,Acephate  ,0.174,mg/kg,FSC 1.4.2,Surveillance,,
2020-07-02,Betel nut,India,Jay Keshav Exports Pvt Ltd,Areca catechu,Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-07-06,Cocoa powder,Japan,Morinaga Co Ltd (Japan),"Calcium, Calcium Carbonate, Ferric Pyrophosphate, Niacin, Vitamin B1,  A, B2 , D",Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-07-06,Cocoa powder ,Japan,Ajigen Co.Ltd,"Calcium, Calcium Carbonate, Ferric Pyrophosphate, Niacin, Vitamin B1, A,  B2, D",Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-07-08,Pickled plum,Japan,Nagayama Foods Factory Co Ltd,Vitamin B1,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-07-08,Roasted split betel nut,Thailand,"Mae Khem.,Ltd",Areca catechu (Betel Nut),Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-07-08, Sheep milk cured cheese ,Portugal,Lacticinios Do Paiva Sa,Listeria monocytogenes ,Detected,/125g,CHE 07/2018,Risk,,
2020-07-08,Cooked crawfish tail,China,Guolian Yiyang Food Co Ltd,Listeria monocytogenes ,Detected ,/125g,CRU 03/2019,Risk,,
2020-07-08,Gluten free corn flakes,Italy,Dr Schar Ag/Spa,"Pantothenic Acid, Biotin and Vitamin B12",Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-07-08,Cooked crawfish tail,China,Guolian Yiyang Food Co Ltd,Standard plate count,"400 000, 260 000, 290 000, 290 000, 400 000",cfu/g,CRU 03/2019,Risk,,
2020-07-09,Blackberry juice concentrate organic,Germany,Dohler Neuenkirche N Gmbh,Paclobutrazol,0.017,mg/kg,FSC 1.4.2,Surveillance,,
2020-07-10, Canned coconut,China,,Vitamin C,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-07-10,Canned yellow peach ,China,"Baoding City Jiakang Food Co., Ltd",Vitamin C,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-07-10,Blackeye beans,United States of America,Kirsten Company Llc,Chlorpyrifos,0.12,mg/kg,FSC 1.4.2,Surveillance,,
2020-07-10,Calorie bar,Korea Republic of,Haitai Pacific Corp,Vitamin C & B5 (Pantothenic acid),Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-07-10,Salted anchovies,Philippines,P.O.P Export Trading,Histamine,350,mg/kg,HIS 12/2016,Risk,,
2020-07-10,Coconut candy,China,"Baoding City Jiakang Food Co., Ltd",Vitamin C,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-07-13,Betel nut,Papua New Guinea,,Areca catechu,Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-07-15,Keeramin,Sri Lanka,St Anne’s Enterprises (Sri Lanka),Histamine,470,mg/kg,HIS 12/2016,Risk,,
2020-07-16,Roasted bhujia (roasted peanuts),India,Jay Keshav Exports Pvt Ltd,Aflatoxin,0.052,mg/kg,NUT 11/2018,Risk,,
2020-07-17,Dambala wing beans (frozen),Sri Lanka,Consolidated Business Systems Limited,Carbendazim,0.52 not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2020-07-17,Candy,Taiwan,Gelking Laboratories Inc,Food colour additive 165,Not permitted in this food ,,FSC 1.3.1,Surveillance,,
2020-07-21,Formulated supplementary sports drink,,,Methylliberine – Unapproved Novel Food, Not permitted in this food,,FSC 1.5.1,Surveillance,,
2020-07-23,Fermented bean curd,China,,Bacillus cereus,"6200, 5900, 5700, >15000, >15000",cfu/g,Imported Food Control Act section 3(2),Surveillance,,
2020-07-24,Honeycomb,Turkey,Bitat Dis Ticaret,Reducing sugars,44,%,FSC 2.8.2,Surveillance,,
2020-07-28,Cherry flavoured bubblegum,South Africa,Mondelez South Africa Proprietry Limited,Additive E127,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-07-29,Mukhvas (mouth freshener),India,Dev Exports,"Areca catechu
 (Betel nut)",Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-07-30,Kashmiri chilli powder,India,Synthite Industries Ltd,Salmonella,Detected,/125,SPI 06/2019,Risk,,
2020-07-30,Tapioca chips,India,Bakemill Foods Intl,Hydrocyanic Acid,21,mg/kg,CAS 09/2016,Risk,,
2020-07-30,Tapioca chips,India,Bakemill Foods Intl,Hydrocyanic Acid,15,mg/kg,CAS 09/2016,Risk,,
2020-07-31,Hot bean curd preserved,Taiwan,Yuhming Limited Company,Bacillus cereus,"1000, 3000, 1200, <100, 800",cfu/g,Imported Food control Act section 3(2),Surveillance,,
2020-07-31,Lychee fruit (fresh),Vietnam,T & A VN Import Export Company Limited,Cypermethrin,0.055 Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2020-07-31,Lychee fruit (fresh),Vietnam,T & A VN Import Export Company Limited,Permethrin,0.7 Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2020-07-31,Chopped spinach – palak,India,Rutu Agro Food Cold Storage,Carbendazim,0.47 Not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2020-07-31,Chopped spinach – palak,India,Rutu Agro Food Cold Storage,Chlorpyrifos,0.24 Not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2020-07-31,Lychee fruit (fresh),Vietnam,T & A VN Import Export Company Limited,Chlorpyrifos,0.02 not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2020-07-31,Chopped spinach – palak,India,Rutu Agro Food Cold Storage,Acephate,0.07 Not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2020-07-31,Lychee fruit (fresh),Vietnam,T & A VN Import Export Company Limited,Difenoconazole,0.08 Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2020-08-03,Tahini,United Arab Emirates,General Trading concept,Salmonella,Detected,/125g,SES 05/2014,Risk,,
2020-08-03,Crab meat,Vietnam,Saigon Aquatic Products Trading Joint Stock Company DL769,Nitrofurazone,0.005 not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2020-08-03,Smoked salmon,Poland,BG Production SP Zoo,Listeria monocytogenes,Detected,/125g,CHE 07/2018,Risk,,
2020-08-05,Fruity pebbles sweetened rice cereal natural & artificial fruit flavour,United States,Smart & Final (USA),Vitamin A Palmitate,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-08-05,Banarsi mitha pan – mouth freshener with betel nut,India,Jay Keshav Exp Pvt Ltd,Areca catechu (Betel nut),Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-08-05,Poojafal whole – Betel nut,India,Jay Keshav Exp Pvt Ltd,Areca catechu (Betel nut),Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-08-05,Poojafal slices – Betel nut,India,Jay Keshav Exp Pvt Ltd,Areca catechu (Betel nut),Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-08-05,Poojafal Tukda– Betel nut,India,Jay Keshav Exp Pvt Ltd,Areca catechu (Betel nut),Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-08-05,Original Chips Ahoy Cereal,United States,Smart & Final (USA),Calcium pantothenate (Vitamin B5),Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-08-05,Fermented bean curd,China,Kaiping Guanghe Fermented Bean Curd Ltd,Bacillus cereus,"4000, 5300, 1300, 4500, >15000",cfu/g,Imported Food Control Act section 3(2),Surveillance,,
2020-08-05,Golden crisp sweetened puffed wheat cereal,United States,Smart & Final (USA),Calcium pantothenate (Vitamin B5),Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-08-06,African birds eye chilli powder,Tanzania United Republic of,Elven Agri Company Limited,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2020-08-06,Smoked catfish pieces,Thailand,Speed General Trading Co Ltd,Enrofloxacin,0.0056 Not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2020-08-06,Ground black pepper,Tanzania United Republic of,Elven Agri Company Limited,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2020-08-07,Betel nut,Myanmar,City Winner Co Ltd,Areca catechu (Betel nut),Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-08-07,Hawthorn (dried),China,Hong Kong Top Gold International Trading Co Limited,Carbendazim,0.14 Not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2020-08-10,Peanut candy balls,India,Malabar Natural Foods PVT LTD,Aflatoxin,0.088,mg/kg,NUT 11/2018,Risk,,
2020-08-11,Season rice yellow rice,United States,Smart & Final (USA),Niacin,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-08-11,Natural flavoured honey nut cheerios made with real honey,United States,Smart & Final (USA),Vitamin A (Palmitate),Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-08-11,Jute leaves,Philippines,Kaelen Phils Inc,Profenofos,0.084 Exceeds permitted mRL,mg/kg,FSC 1.4.2,Surveillance,,
2020-08-11,Season rice yellow rice,United States,Smart & Final (USA),Thiamine,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-08-11,Jute leaves,Philippines,Kaelen Phils Inc,Chlorpyrifos,0.68 Exceeds permitted mRL,mg/kg,FSC 1.4.2,Surveillance,,
2020-08-11,Salty preserved dried plums retail,China,"Guandong Farmer’s Grange Food Industry Co., Ltd",Additive Sodium benzoate,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-08-11,Dirty rice long grain mix with vegetable spices,United States,Smart & Final (USA),Iron,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-08-11,Sweet preserved dried plums retail,China,"Guandong Farmer’s Grange Food Industry Co., Ltd",Additive Sodium benzoate,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-08-11,Dirty rice long grain mix with vegetable spices,United States,Smart & Final (USA),"Folic acid
",Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-08-11,Manii moto mixes lemon (peanut),Colombia,C & B Group,Additive BHT (antioxidant),Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-08-11,Dirty rice long grain mix with vegetable spices,United States,Smart & Final (USA),Niacin,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-08-11,Dirty rice long grain mix with vegetable spices,United States,Smart & Final (USA),"Thiamine
mononitrate
",Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-08-11,Manii moto original (peanuts),Colombia,C & B Group,Additive BHT (antioxidant),Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-08-11,Frosted flakes of corn,United States,Kellogg Company,Vitamin B12,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-08-11,Manii moto mixes chocolate (peanut),Colombia,C & B Group,Additive BHT (antioxidant),Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-08-11,Dirty rice long grain mix with vegetable spices,United States,Smart & Final (USA),Thiamine,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-08-11,Preserved orange peel,China,"Guandong Farmer’s Grange Food Industry Co., Ltd",Additive Sodium benzoate,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-08-11,Season rice yellow rice,United States,Smart & Final (USA),Iron,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-08-11,Maldive fish chips,India,Gowrie Exports & Imports,Histamine,606,mg/kg,HIS 12/2016,Risk,,
2020-08-14,Red chilli (frozen),Vietnam,Nam Hai Company Ltd,Hexaconazole ,"0.07 
Not permitted in this food",mg/kg,FSC 1.4.2,Surveillance,,
2020-08-14,Chinese donghui bayberry (Myrica rubra),China,Linhai Monhong,Difenoconazole,".08 
Not permitted in this food
",mg/kg,FSC 1.4.2,Surveillance,,
2020-08-14,Chinese donghui bayberry (Myrica rubra),China,Linhai Monhong,Cyhalothrin,"0.12 
Not permitted in this food
",mg/kg,FSC 1.4.2,Surveillance,,
2020-08-19,Unseasoned whole crayfish,China,Hubei Laker Agricultural Technology Development Co Ltd,Listeria monocytogenes,Detected,/125g,CRU 03/2019,Risk,,
2020-08-19,Bang cherry blade lemon drink,United States,Vital Pharmaceuticals Inc,Caffeine,630,mg/L,FSC 2.6.4,Surveillance,,
2020-08-19,Bang cotton candy drink,United States,Vital Pharmaceuticals Inc,Caffeine,630,mg/L,FSC 2.6.4,Surveillance,,
2020-08-19,Tipi tip cheesy,Sri Lanka,Uswatte Confectionery,Vitamin C,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-08-19,Bang peach mango drink,United States,Vital Pharmaceuticals Inc,Caffeine,630,mg/L,FSC 2.6.4,Surveillance,,
2020-08-19,Bang purple guava pear drink,United States,Vital Pharmaceuticals Inc,Caffeine,630,mg/L,FSC 2.6.4,Surveillance,,
2020-08-19,Bang blue razz drink,United States,Vital Pharmaceuticals Inc,Caffeine,630,mg/L,FSC 2.6.4,Surveillance,,
2020-08-19,Bang black cherry vanilla drink,United States,Vital Pharmaceuticals Inc,Caffeine,630,mg/L,FSC 2.6.4,Surveillance,,
2020-08-19,Golden Morn Maize & Soya Protein – Nutritious family cereal.,Nigeria,Nestle Nigeria,"Pantothenic acid
(Vitamin B5
",Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-08-19,Kashmiri chilli powder,India,Grandma’s Food Products,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2020-08-19,Bang star blast drink,United States,Vital Pharmaceuticals Inc,Caffeine,630,mg/L,FSC 2.6.4,Surveillance,,
2020-08-19,Bang sour heads drinks,United States,Vital Pharmaceuticals Inc,Caffeine,630,mg/L,FSC 2.6.4,Surveillance,,
2020-08-20,Hot tapioca chips,Malaysia,Bangara Enterprise (Malaysia),Hydrocyanic acid,30,mg/kg,CAS 09/2016,Risk,,
2020-08-20,Dried fish seer,Sri Lanka,Derana Marketing Services Pvt,Histamine,670,mg/kg,HIS 12/2016,Risk,,
2020-08-20,Pistachio kernels,Iran Islamic Republic of,Negin Tejarat Anahita Company (Iran),Aflatoxin,2.908,mg/kg,NUT 11/2018,Risk,,
2020-08-21,Gluten free corn flakes,Italy,Dr Schar Ag/Spa,Vitamin B12 ,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-08-21,Gluten free corn flakes,Italy,Dr Schar Ag/Spa,Pantothenic acid,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-08-21,Bake Time Marble Cake Slices,Pakistan,Hilal Foods,Additive Sodium benzoate,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-08-21,Tapioca chips,India,Malabar Natural Foods Pvt Ltd,Hydrocyanic acid,69,mg/kg,CAS 09/2019,Risk,,
2020-08-21,Gluten free corn flakes,Italy,Dr Schar Ag/Spa, Biotin ,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-08-24,Okra - small,Eqypt,Givrex Robert Mansour & Co,Chlorpyrifos,"0.02 
Exceeds permitted MRL",mg/kg,FSC 1.4.2,Surveillance,,
2020-08-27,Frozen cooked crawfish tail,China,Guolian Yiyang Food Co Ltd,Listeria monocytogenes,Detected,,CRU 03/2019,Risk,,
2020-08-27,Frozen cooked crawfish tail,China,Guolian Yiyang Food Co Ltd,Standard Plate Count,"180000, 370000, 190000, 300000, 200000",mg/kg,CRU 03/2019,Risk,,
2020-08-28,"Frozen soft, shell crab",Myanmar,Gallant Ocean Trading Co Ltd,Nitrofurazone,"0.002 
Not permitted in this food",mg/kg,FSC 1.4.2,Surveillance,,
2020-08-28,"Wheat flour, pre- cooked",Sri Lanka,D&R Exports Pvt Ltd,Vitamin B12,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-08-28,Dried balaya tuna,Sri Lanka,D & R Exports Pvt Ltd,Histamine,600,mg/kg,HIS 12/2016,Risk,,
2020-08-28,Peanut,China,Three Squirrels Food Co Ltd,Aflatoxin,0.223,mg/kg,NUT 11/2018,Risk,,
2020-08-28,Sesame tahini,Eqypt,Arabesq General Trading & Export,Salmonella,Detected,/125g,SES 05/2014,Risk,,
2020-08-31,Fermented bean curd,Vietnam,Tyh Import Export Service,Bacillus cereus,"3400, 4100,
7400, 7600,
6000",cfu/g,Imported Food Control Act section 3 (2),Surveillance,,
2020-08-31,Masala Peanuts,India,Frumar Marketing Pty,Aflatoxin,0.035,mg/kg,NUT 11/2018,Risk,,
2020-09-02,Masala sing bhujiya,India,Kartik Enterprise,Aflatoxin,0.07,mg/kg,NUT 11/2018,Risk,,
2020-09-02,Wild raw (rue),Iran Islamic Republic of,Farhad Golestan,Wild rue – Peganum harmala,Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-09-03,Dried anchovy,Vietnam,Taviuc Co Ltd,Histamine,256,mg/kg,HIS 12/2016,Risk,,
2020-09-03,Bamboo clam,Indonesia,Pt Mina Jaya Wysia,E. coli,"2.3, <2.3, 4.3, 24, 2.3 ",mg/kg,MOL 04/2017,Risk,,
2020-09-03,Dried anchovy,Vietnam,Saky Foods Company Limited,Histamine,251,mg/kg,HIS 12/2016,Risk,,
2020-09-03,Tapioca chips spicy,India,Topper Export,Hydrocyanic acid,42,mg/kg,CAS 09/2019,Risk,,
2020-09-03,Tapioca chips sticks,India,Topper Export,Hydrocyanic acid,43,mg/kg,CAS 09/2019,Risk,,
2020-09-03,Tapioca chips,India,Topper Export,Hydrocyanic acid,17,mg/kg,CAS 09/2019,Risk,,
2020-09-03,Betel nut,Myanmar,City Winner,Areca catechu,Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-09-04,Canned nori peanut,China,Ningbo Haishu Jianfeng,Aflatoxin,0.047,mg/kg,NUT 11/2018,Risk,,
2020-09-07,White clam (whole),Vietnam,Dong Phuong Seafood Company Ltd,E. coli,"9.3, <2.3, <2.3, <2.3, <2.3",MPN/g,MOL 04/2017,Risk,,
2020-09-07,Tasty spicy coated peanuts,India,Bikanervala Foods,Aflatoxin,0.033,mg/kg,NUT 11/2018,Risk,,
2020-09-09,Shred max super strength fat burner drink,United States,Florida Alternative Medicine &Weight Loss,Caffeine,,,FSC 1.1.1,Surveillance,,
2020-09-09,Monamon dills salted anchovies,Philippines,Century Pacific Food Inc,Histamine,570,mg/kg,HIS 12/2016,Risk,,
2020-09-09,Shred max super strength fat burner drink,United States,Florida Alternative Medicine &Weight Loss,L-Theanine,,,FSC 2.9.4,Surveillance,,
2020-09-10,Seaweed,China,Fuzhou Hailin Food Co Limited,Iodine,3500,mg/kg,BSW 12/2016,Risk,,
2020-09-10,Gum (black),Japan,Lotte Co Ltd,Additive Gardenia blue 165,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-09-10,Plenny shake banana,Netherlands,Jimmy Joy,Vitamins B5,Not permitted in this food,,FSC 2.9.3,Surveillance,,
2020-09-10,Plenny shake strawberry,Netherlands,Jimmy Joy,Vitamins B5,Not permitted in this food,,FSC 2.9.3,Surveillance,,
2020-09-10,Plenny shake vanilla,Netherlands,Jimmy Joy,Vitamins B5,Not permitted in this food,,FSC 2.9.3,Surveillance,,
2020-09-10,Seaweed,China,Fuzhou Hailin Food Co Limited,Iodine,1200,mg/kg,BSW 12/2016,Risk,,
2020-09-10,Seaweed,China,Fuzhou Hailin Food Co Limited,Iodine,2600,mg/kg,BSW 12/2016,Risk,,
2020-09-10,Plenny shake chocolate,Netherlands,Jimmy Joy,Vitamins B5,Not permitted in this food,,FSC 2.9.3,Surveillance,,
2020-09-11,Fermented salted fish,Philippines,Fitrite Incorporated (Philippines),Histamine,242,mg/kg,HIS 12/2016,Risk,,
2020-09-14,Assorted fruit,China,Holly Food Co Ltd,Vitamin C,Not permitted in this food,,FSC 1.3.2,Surveillance,,
