Date_of_fail,Product_description,Country_of_origin,Producer_name,Reason_for_fail,Results,Units,Reference,Category,Test_applied,Holding_order_number
2020-05-05,fresh chilled mango,vietnam,dtpro,cypermethrin,0.093,mg/kg,fsc 142,surveillance,nan,
2020-05-05,instant drink mix powder  orange flavour,india,spectrum international,vitamin k copper and biotin,Not permitted in this food,,fsc 132,surveillance,nan,
2020-05-05,cereal  walnut and apple maple,japan,calbee,vitamin b12,Not permitted in this food,,fsc 132,surveillance,nan,
2020-05-05,mixed fruit jam,india,spectrum international,vitamin b3,Not permitted in this food,,fsc 132,surveillance,nan,
2020-05-05,instant drink mix powder  lemon flavour,india,spectrum international,vitamin k copper and biotin,Not permitted in this food,,fsc 132,surveillance,nan,
2020-05-06,dried kelawalla fish,sri lanka,d r exports,histamine,2200,mg/kg,his 122016,risk,nan,
2020-05-06,frozen chinese spinach,china,shanghai xushun foodstuff,carbendazim,"0.018

Not permitted in this food",mg/kg,fsc 142,surveillance,nan,
2020-05-06,dried mackerel shavings,japan,fukushima katsuo,histamine,520,mg/kg,his 122016,risk,nan,
2020-05-06,maldive fish chips,sri lanka,d r exports,histamine,230,mg/kg,his 122016,risk,nan,
2020-05-06,dried balaya fish,sri lanka,d r exports,histamine,3600,mg/kg,his 122016,risk,nan,
2020-05-06,dried kelawalla fish,sri lanka,st annes enterprises sri lanka,histamine,660,mg/kg,his 122016,risk,nan,
2020-05-07,pineapple juice,philippines,del monte philippines  philippines,vitamin e,Not permitted in this food,,fsc 132,surveillance,nan,
2020-05-08,preserved vegetarian beancurd with chilli,china,gui yang nanming laoganma flavoured food,bacillus cereus,"7 600, 3 600, 3 400, 4 200, 2 000",cfu/g ,imported food control act sectin 32,surveillance,nan,
2020-05-11,fermented bean curd,china,xiangshan industry,bacillus cereus,"6 400, 7 300, 6 200, 8 000, 17 000",cfu/g ,imported food control act sectin 32,surveillance,nan,
2020-05-11,mini rice balls,taiwan,sunny winkel,additive e 127 erythrosine,Not permitted in this food,,fsc 131,surveillance,nan,
2020-05-11,spicy fermented bean curd,china,xiangshan industry,bacillus cereus,"2 600, 6 000, 3 600, 5 600, 9 300",cfu/g ,imported food control act sectin 32,surveillance,nan,
2020-05-11,fresh oranges,united states,wonderful citrus,tebuconazole,0.24,mg/kg,fsc 142,surveillance,nan,
2020-05-12,roasted kelp,china,luoyuan jiazhiwei food,iodine,3500,mg/kg,bsw 122016,risk,nan,
2020-05-13,dried hawthorn fruit,china,guangdong zhongshan guzhen li hua nong fu factory,"cyhalothrin
carbendazim","0.1
0.02

Cyhalothrin and Carbendazom not permitted in this food",mg/kg,fsc 142,surveillance,nan,
2020-05-13,baby okra,india,global gourmet,cyhalothrin,0.012,mg/kg,fsc 142,surveillance,nan,
2020-05-13,chinese dates,china,botou huayang jujube industry,"cyfluthrin
cypermethrin
difenoconazole
cyhalothrin","0.22
0.107
0.313
0.027 (Cyhalothrin not permitted in this food)",mg/kg,fsc 142,surveillance,nan,
2020-05-13,garlic coated peanuts,indonesia,pt garuda putraputri jaya indonesia,aflatoxin,0.02,mg/kg,nut 112018,risk,nan,
2020-05-13,salted peanuts,india,bikaji foods international,aflatoxin,0.031,mg/kg,nut 112018,risk,nan,
2020-05-13,frozen chinese spinach,china,shanghai xushun foodstuff,cyhalothrin,"0.027

Not permitted in this food",mg/kg,fsc 142,surveillance,nan,
2020-05-13,dried longan pulp,china,hong kong sing hung food,carbendazim,"0.062

Not permitted in this food",mg/kg,fsc 142,surveillance,nan,
2020-05-13,compostelle cheese,france,agour distrib sarl 64640 f64259100cee helette france,listeria monocytogenes,Detected,/125g,che 072018,risk,nan,
2020-05-13,jujube dates,china,botou huayang jujube industry,cypermethrin,"0.313

Not permitted in this food",mg/kg,fsc 142,surveillance,nan,
2020-05-13,frozen chinese spinach,china,shanghai xushun foodstuff,chlorpyrifos,0.022,mg/kg,fsc 142,surveillance,nan,
2020-05-13,chalosse cheese,france,agour distrib sarl 64640 f64259100cee helette france,listeria monocytogenes,Detected,/125g,che 072018,risk,nan,
2020-05-13,agour goat cheese,france,agour distrib sarl 64640 f64259100cee helette france,listeria monocytogenes,Detected,/125g,che 072018,risk,nan,
2020-05-18,frozen cooked vannamei prawns,thailand,top product food,standard plate count,"16 000 000 , 13 000 , 6 000, 
5 200 000, 4 000",cfu/g,cru 032019,risk,nan,
2020-05-18,frozen spinach,india,global gourmet,"chlorpyrifos
profenofos
acephate","0.70
0.07
0.056 (Acephate not permitted in this food)
",mg/kg,fsc 142,surveillance,nan,
2020-05-19,dried kelp,china,fuzhou hailin food,iodine,2500,mg/kg,bsw 122016,risk,nan,
2020-05-19,hijiki seaweed powder,china,focusherb corp,inorganic arsenic,4.2,mg/kg,hjs 102016,risk,nan,
2020-05-19,dried seaweed,china,guangdong shengfeng  company,iodine,3700,mg/kg,bsw 122016,risk,nan,
2020-05-19,dried seaweed,china,guangdong shengfeng  company,iodine,2800,mg/kg,bsw 122016,risk,nan,
2020-05-20,toor dhal,myanmar,ays mfg,chlorpyrifos,0.027,mg/kg,fsc 142,surveillance,nan,
2020-05-20,mung dhal,myanmar,ays mfg,chlorpyrifos,0.042,mg/kg,fsc 142,surveillance,nan,
2020-05-21,seasoned pollock roe,korea,daesang,vitamin c,Not permitted in this food,,fsc 132,surveillance,nan,
2020-05-26,frozen chinese spinach,china,shanghai xushun foodstuff,paclobutrazol,0.013,mg/kg,fsc 142,surveillance,nan,
2020-05-26,betel nut,papua new guinea,colin lang timothy holeong,areca catechu betel nut,Prohibited plant,,fsc 144,surveillance,nan,
2020-05-26,betel nut,papua new guinea,magdaline maino,areca catechu betel nut,Prohibited plant,,fsc 144,surveillance,nan,
2020-05-26,betel nut,papua new guinea,shoreline agri supplies,areca catechu betel nut,Prohibited plant,,fsc 144,surveillance,nan,
2020-05-26,betel nut,papua new guinea,magdaline maino,areca catechu betel nut,Prohibited plant,,fsc 144,surveillance,nan,
2020-05-28,roasted betel nut,myanmar,ausi myanmar company,betel nut areca catechu,Prohibited plant,,fsc 144,surveillance,nan,
2020-05-28,pickled plums,japan,nagayama foods factory,vitamin b1,Not permitted in this food,,fsc 132,surveillance,nan,
2020-05-29,medan peanuts,indonesia,pt rasa sayang ais krim,aflatoxin,0.043,mg/kg,nut 112018,risk,nan,
2020-05-29,betel nut,myanmar,shwe myanmar investment and commercial,areca catechu betel nut,Prohibited plant,,fsc 144,surveillance,nan,
2020-05-29,salted plums,taiwan,shun tai food,lead,0.15,mg/kg,fsc 141,surveillance,nan,
2020-05-29,salted plums,taiwan,shun tai food,lead,0.18,mg/kg,fsc 141,surveillance,nan,
2020-06-03,pickled turnip,lebanon,jean raad for industries and trade,additive e 127 erythrosine,Not permitted in this food,,fsc 131,surveillance,nan,
2020-06-03,canned yellow peaches,korea,sempio food company,lead,0.14,mg/kg,fsc 141,surveillance,nan,
2020-06-03,frozen sesbania flowers,vietnam,saka saka company,chlorpyrifos,0.066,mg/kg,fsc 142,surveillance,nan,
2020-06-08,frozen cooked peeled prawns,thailand,lee heng seafood   establishment 1177,standard plate count,"1 000, 1 000 000, 71 000, 690 000, 190 000",cfu/g,cru 032019,risk,nan,
2020-06-09,formulated supplementary sports food,united states,dynamic nutraceuticals,dynamine,Unapproved novel food ,,fsc 151,surveillance,nan,
2020-06-10,peanut brittle,pakistan,oasis,aflatoxin,0.028,mg/kg,nut 112018,risk,nan,
2020-06-10,lemon soft drink,korea,kyungnampharm,vitamin c b2 and b6,In excess of levels permitted,,fsc 132,surveillance,nan,
2020-06-11,maldive fish chips,sri lanka,derana marketing services,histamine,580,mg/kg,his 122016,risk,nan,
2020-06-11,frozen small red chillies,vietnam,nam hai company,hexaconazole,0.051,mg/kg,fsc 142,surveillance,nan,
2020-06-11,smoked salmon,poland,bg production sp zoo,listeria monocytogenes,Detected,/125g,fsh 072018,risk,nan,
2020-06-12,tomato sauce,china,dongguanshi yongyi food,additive e 127 erythrosine,Not permitted in this food,,fsc 131,surveillance,nan,
2020-06-12,chinese spinach,china,shanghai xushun foodstuff,carbendazim,0.22,mg/kg,fsc 142,surveillance,nan,
2020-06-12,bonito flakes,japan,kaneshichi,histamine,519,mg/kg,his 122016,risk,nan,
2020-06-12,cut lotus root,china,fujian ningde yongjia trade,additive vitamin c,Not permitted in this food,,fsc 131,surveillance,nan,
2020-06-12,seaweed,china,fuzhou hailin food,iodine,2600,mg/kg,bsw 122016,risk,nan,
2020-06-12,sliced lotus root,china,fujian ningde yongjia trade,additive vitamin c,Not permitted in this food,,fsc 131,surveillance,nan,
2020-06-12,urad dal black lentils,myanmar,ays mfg,chlorpyrifos,0.033,mg/kg,fsc 142,surveillance,nan,
2020-06-12,chinese spinach,china,shanghai xushun foodstuff,carbendazim,0.08,mg/kg,fsc 142,surveillance,nan,
2020-06-15,fresh garlic roots,china,jining new silk road food,carbendazaim,0.1,mg/kg,fsc 142,surveillance,nan,
2020-06-16,cassava chips,indonesia,ptarira pangindo,hydrocyanic acid,15,mg/kg,cas 092019,risk,nan,
2020-06-16,cassava chips,indonesia,ptarira pangindo,hydrocyanic acid,12,mg/kg,cas 092019,risk,nan,
2020-06-19,hot and spicy tuna,philippines,century pacific group,additive vitamin a retinyl palmitate,Not permitted in this food,,fsc 132,surveillance,nan,
2020-06-22,compostelle cheese,france,agour distrib sarl 64640 f64259100cee helette france,listeria monocytogenes,Detected,/125g,che 072018,risk,nan,
2020-06-22,frozen mussel meat,chile,blue shell sa,e coli,"17, 2, 5, <2, <2",mpn/g,mol 042017,risk,nan,
2020-06-23,frozen grated small red chillies,vietnam,nam hai company,difenoconazole,0.09,mg/kg,fsc 142,surveillance,nan,
2020-06-24,rice cake,japan,kyoshin seika,colour additives safflower yellow and gardenia blue,Not permitted in this food,,fsc 131,surveillance,nan,
2020-06-24,honey,turkey,balparmak gida sekerleme,reducing sugars,58,%,fsc 282,risk,nan,
2020-06-24,rice cake,japan,kyoshin seika,colour additive gardenia blue,Not permitted in this food,,fsc 131,surveillance,nan,
2020-06-24,fresh onion flowers,china,guangzhou linqi trading,cyhalothrin,0.1,mg/kg,fsc 142,surveillance,nan,
2020-06-24,salted peanuts,china,dongguan city shaerge food,aflatoxin,0.25,mg/kg,nut 112018,risk,nan,
2020-06-25,maldive fish chips,sri lanka,derana marketing services,histamine,300,mg/kg,his 122016,risk,nan,
2020-06-26,frozen shredded chinese spinach,china,shanghai xushun foodstuff,carbendazim,0.14,mg/kg,fsc 142,surveillance,nan,
2020-06-26,grated coconut,india,parayil food products,salmonella,Detected,/250g,fsc 161,surveillance,nan,
2020-06-26,preserved bean curd,china,royi hk industrial,bacillus cereus,"1 700, >15 000, 1 500, 1 000, 1 400",cfu/g,imported food control act section 32,surveillance,nan,
2020-06-26,frozen shredded chinese spinach,china,shanghai xushun foodstuff,carbendazim,0.28,mg/kg,fsc 142,surveillance,nan,
2020-06-29,peanut candy ball,india,malabar natural foods,aflatoxin,0.156,mg/kg,nut 112018,risk,nan,
2020-06-29,preserved chilli bean curd,china,lihuajin,bacillus cereus,"<100, 200, 2 000, 9 500, 9 100",cfu/g,imported food control act section 32,surveillance,nan,
2020-06-29,peanut candy bar,india,malabar natural foods,aflatoxin,0.019,mg/kg,nut 112018,risk,nan,
2020-07-01,frozen vegetable tindora,india,parayil food products,monocrotophos,0.21,mg/kg,fsc 142,surveillance,nan,
2020-07-01,door dal,india,batra enterprises,chlorpyrifos,0.013,mg/kg,nan,surveillance,nan,
2020-07-01,moong dhuli lentils,india,batra enterprises,chlorpyrifos,0.121,mg/kg,fsc 142,surveillance,nan,
2020-07-01,frozen vegetable tindora,india,parayil food products,acephate,0.174,mg/kg,fsc 142,surveillance,nan,
2020-07-02,betel nut,india,jay keshav exports,areca catechu,Prohibited plant,,fsc 144,surveillance,nan,
2020-07-06,cocoa powder,japan,morinaga   japan,calcium calcium carbonate ferric pyrophosphate niacin vitamin b1 a b2  d,Not permitted in this food,,fsc 132,surveillance,nan,
2020-07-06,cocoa powder,japan,ajigen coltd,calcium calcium carbonate ferric pyrophosphate niacin vitamin b1 a b2 d,Not permitted in this food,,fsc 132,surveillance,nan,
2020-07-08,pickled plum,japan,nagayama foods factory,vitamin b1,Not permitted in this food,,fsc 132,surveillance,nan,
2020-07-08,roasted split betel nut,thailand,mae khemltd,areca catechu betel nut,Prohibited plant,,fsc 144,surveillance,nan,
2020-07-08,sheep milk cured cheese,portugal,lacticinios do paiva sa,listeria monocytogenes,Detected,/125g,che 072018,risk,nan,
2020-07-08,cooked crawfish tail,china,guolian yiyang food,listeria monocytogenes,Detected ,/125g,cru 032019,risk,nan,
2020-07-08,gluten free corn flakes,italy,dr schar agspa,pantothenic acid biotin and vitamin b12,Not permitted in this food,,fsc 132,surveillance,nan,
2020-07-08,cooked crawfish tail,china,guolian yiyang food,standard plate count,"400 000, 260 000, 290 000, 290 000, 400 000",cfu/g,cru 032019,risk,nan,
2020-07-09,blackberry juice concentrate organic,germany,dohler neuenkirche n gmbh,paclobutrazol,0.017,mg/kg,fsc 142,surveillance,nan,
2020-07-10,canned coconut,china,nan,vitamin c,Not permitted in this food,,fsc 132,surveillance,nan,
2020-07-10,canned yellow peach,china,baoding city jiakang food,vitamin c,Not permitted in this food,,fsc 132,surveillance,nan,
2020-07-10,blackeye beans,united states,kirsten company llc,chlorpyrifos,0.12,mg/kg,fsc 142,surveillance,nan,
2020-07-10,calorie bar,korea,haitai pacific corp,vitamin c  b5 pantothenic acid,Not permitted in this food,,fsc 132,surveillance,nan,
2020-07-10,salted anchovies,philippines,pop export trading,histamine,350,mg/kg,his 122016,risk,nan,
2020-07-10,coconut candy,china,baoding city jiakang food,vitamin c,Not permitted in this food,,fsc 132,surveillance,nan,
2020-07-13,betel nut,papua new guinea,nan,areca catechu,Prohibited plant,,fsc 144,surveillance,nan,
2020-07-15,keeramin,sri lanka,st annes enterprises sri lanka,histamine,470,mg/kg,his 122016,risk,nan,
2020-07-16,roasted bhujia roasted peanuts,india,jay keshav exports,aflatoxin,0.052,mg/kg,nut 112018,risk,nan,
2020-07-17,dambala wing beans frozen,sri lanka,consolidated business systems,carbendazim,0.52 not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2020-07-17,candy,taiwan,gelking laboratories,food colour additive 165,Not permitted in this food ,,fsc 131,surveillance,nan,
2020-07-21,formulated supplementary sports drink,nan,nan,methylliberine  unapproved novel food, Not permitted in this food,,fsc 151,surveillance,nan,
2020-07-23,fermented bean curd,china,nan,bacillus cereus,"6200, 5900, 5700, >15000, >15000",cfu/g,imported food control act section 32,surveillance,nan,
2020-07-24,honeycomb,turkey,bitat dis ticaret,reducing sugars,44,%,fsc 282,surveillance,nan,
2020-07-28,cherry flavoured bubblegum,south africa,mondelez south africa proprietry,additive e127,Not permitted in this food,,fsc 131,surveillance,nan,
2020-07-29,mukhvas mouth freshener,india,dev exports,"areca catechu
 betel nut",Prohibited plant,,fsc 144,surveillance,nan,
2020-07-30,kashmiri chilli powder,india,synthite industries,salmonella,Detected,/125,spi 062019,risk,nan,
2020-07-30,tapioca chips,india,bakemill foods intl,hydrocyanic acid,21,mg/kg,cas 092016,risk,nan,
2020-07-30,tapioca chips,india,bakemill foods intl,hydrocyanic acid,15,mg/kg,cas 092016,risk,nan,
2020-07-31,hot bean curd preserved,taiwan,yuhming  company,bacillus cereus,"1000, 3000, 1200, <100, 800",cfu/g,imported food control act section 32,surveillance,nan,
2020-07-31,lychee fruit fresh,vietnam,t a vn import export company,cypermethrin,0.055 Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2020-07-31,lychee fruit fresh,vietnam,t a vn import export company,permethrin,0.7 Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2020-07-31,chopped spinach  palak,india,rutu agro food cold storage,carbendazim,0.47 Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2020-07-31,chopped spinach  palak,india,rutu agro food cold storage,chlorpyrifos,0.24 Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2020-07-31,lychee fruit fresh,vietnam,t a vn import export company,chlorpyrifos,0.02 not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2020-07-31,chopped spinach  palak,india,rutu agro food cold storage,acephate,0.07 Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2020-07-31,lychee fruit fresh,vietnam,t a vn import export company,difenoconazole,0.08 Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2020-08-03,tahini,united arab emirates,general trading concept,salmonella,Detected,/125g,ses 052014,risk,nan,
2020-08-03,crab meat,vietnam,saigon aquatic products trading joint stock company dl769,nitrofurazone,0.005 not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2020-08-03,smoked salmon,poland,bg production sp zoo,listeria monocytogenes,Detected,/125g,che 072018,risk,nan,
2020-08-05,fruity pebbles sweetened rice cereal natural  artificial fruit flavour,united states,smart final,vitamin a palmitate,Not permitted in this food,,fsc 132,surveillance,nan,
2020-08-05,banarsi mitha pan  mouth freshener with betel nut,india,jay keshav exp,areca catechu betel nut,Prohibited plant,,fsc 144,surveillance,nan,
2020-08-05,poojafal whole  betel nut,india,jay keshav exp,areca catechu betel nut,Prohibited plant,,fsc 144,surveillance,nan,
2020-08-05,poojafal slices  betel nut,india,jay keshav exp,areca catechu betel nut,Prohibited plant,,fsc 144,surveillance,nan,
2020-08-05,poojafal tukda betel nut,india,jay keshav exp,areca catechu betel nut,Prohibited plant,,fsc 144,surveillance,nan,
2020-08-05,original chips ahoy cereal,united states,smart final,calcium pantothenate vitamin b5,Not permitted in this food,,fsc 132,surveillance,nan,
2020-08-05,fermented bean curd,china,kaiping guanghe fermented bean curd,bacillus cereus,"4000, 5300, 1300, 4500, >15000",cfu/g,imported food control act section 32,surveillance,nan,
2020-08-05,golden crisp sweetened puffed wheat cereal,united states,smart final,calcium pantothenate vitamin b5,Not permitted in this food,,fsc 132,surveillance,nan,
2020-08-06,african birds eye chilli powder,tanzania united republic of,elven agri company,salmonella,Detected,/125g,spi 062019,risk,nan,
2020-08-06,smoked catfish pieces,thailand,speed general trading,enrofloxacin,0.0056 Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2020-08-06,ground black pepper,tanzania united republic of,elven agri company,salmonella,Detected,/125g,spi 062019,risk,nan,
2020-08-07,betel nut,myanmar,city winner,areca catechu betel nut,Prohibited plant,,fsc 144,surveillance,nan,
2020-08-07,hawthorn dried,china,hong kong top gold international trading,carbendazim,0.14 Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2020-08-10,peanut candy balls,india,malabar natural foods,aflatoxin,0.088,mg/kg,nut 112018,risk,nan,
2020-08-11,season rice yellow rice,united states,smart final,niacin,Not permitted in this food,,fsc 132,surveillance,nan,
2020-08-11,natural flavoured honey nut cheerios made with real honey,united states,smart final,vitamin a palmitate,Not permitted in this food,,fsc 132,surveillance,nan,
2020-08-11,jute leaves,philippines,kaelen phils,profenofos,0.084 Exceeds permitted mRL,mg/kg,fsc 142,surveillance,nan,
2020-08-11,season rice yellow rice,united states,smart final,thiamine,Not permitted in this food,,fsc 132,surveillance,nan,
2020-08-11,jute leaves,philippines,kaelen phils,chlorpyrifos,0.68 Exceeds permitted mRL,mg/kg,fsc 142,surveillance,nan,
2020-08-11,salty preserved dried plums retail,china,guandong farmers grange food industry,additive sodium benzoate,Not permitted in this food,,fsc 132,surveillance,nan,
2020-08-11,dirty rice long grain mix with vegetable spices,united states,smart final,iron,Not permitted in this food,,fsc 132,surveillance,nan,
2020-08-11,sweet preserved dried plums retail,china,guandong farmers grange food industry,additive sodium benzoate,Not permitted in this food,,fsc 132,surveillance,nan,
2020-08-11,dirty rice long grain mix with vegetable spices,united states,smart final,folic acid,Not permitted in this food,,fsc 132,surveillance,nan,
2020-08-11,manii moto mixes lemon peanut,colombia,c b group,additive bht antioxidant,Not permitted in this food,,fsc 131,surveillance,nan,
2020-08-11,dirty rice long grain mix with vegetable spices,united states,smart final,niacin,Not permitted in this food,,fsc 132,surveillance,nan,
2020-08-11,dirty rice long grain mix with vegetable spices,united states,smart final,"thiamine
mononitrate",Not permitted in this food,,fsc 132,surveillance,nan,
2020-08-11,manii moto original peanuts,colombia,c b group,additive bht antioxidant,Not permitted in this food,,fsc 131,surveillance,nan,
2020-08-11,frosted flakes of corn,united states,kellogg company,vitamin b12,Not permitted in this food,,fsc 132,surveillance,nan,
2020-08-11,manii moto mixes chocolate peanut,colombia,c b group,additive bht antioxidant,Not permitted in this food,,fsc 131,surveillance,nan,
2020-08-11,dirty rice long grain mix with vegetable spices,united states,smart final,thiamine,Not permitted in this food,,fsc 132,surveillance,nan,
2020-08-11,preserved orange peel,china,guandong farmers grange food industry,additive sodium benzoate,Not permitted in this food,,fsc 132,surveillance,nan,
2020-08-11,season rice yellow rice,united states,smart final,iron,Not permitted in this food,,fsc 132,surveillance,nan,
2020-08-11,maldive fish chips,india,gowrie exports imports,histamine,606,mg/kg,his 122016,risk,nan,
2020-08-14,red chilli frozen,vietnam,nam hai company,hexaconazole,"0.07 
Not permitted in this food",mg/kg,fsc 142,surveillance,nan,
2020-08-14,chinese donghui bayberry myrica rubra,china,linhai monhong,difenoconazole,".08 
Not permitted in this food
",mg/kg,fsc 142,surveillance,nan,
2020-08-14,chinese donghui bayberry myrica rubra,china,linhai monhong,cyhalothrin,"0.12 
Not permitted in this food
",mg/kg,fsc 142,surveillance,nan,
2020-08-19,unseasoned whole crayfish,china,hubei laker agricultural technology development,listeria monocytogenes,Detected,/125g,cru 032019,risk,nan,
2020-08-19,bang cherry blade lemon drink,united states,vital pharmaceuticals,caffeine,630,mg/L,fsc 264,surveillance,nan,
2020-08-19,bang cotton candy drink,united states,vital pharmaceuticals,caffeine,630,mg/L,fsc 264,surveillance,nan,
2020-08-19,tipi tip cheesy,sri lanka,uswatte confectionery,vitamin c,Not permitted in this food,,fsc 132,surveillance,nan,
2020-08-19,bang peach mango drink,united states,vital pharmaceuticals,caffeine,630,mg/L,fsc 264,surveillance,nan,
2020-08-19,bang purple guava pear drink,united states,vital pharmaceuticals,caffeine,630,mg/L,fsc 264,surveillance,nan,
2020-08-19,bang blue razz drink,united states,vital pharmaceuticals,caffeine,630,mg/L,fsc 264,surveillance,nan,
2020-08-19,bang black cherry vanilla drink,united states,vital pharmaceuticals,caffeine,630,mg/L,fsc 264,surveillance,nan,
2020-08-19,golden morn maize  soya protein  nutritious family cereal,nigeria,nestle nigeria,"pantothenic acid
vitamin b5",Not permitted in this food,,fsc 132,surveillance,nan,
2020-08-19,kashmiri chilli powder,india,grandmas food products,salmonella,Detected,/125g,spi 062019,risk,nan,
2020-08-19,bang star blast drink,united states,vital pharmaceuticals,caffeine,630,mg/L,fsc 264,surveillance,nan,
2020-08-19,bang sour heads drinks,united states,vital pharmaceuticals,caffeine,630,mg/L,fsc 264,surveillance,nan,
2020-08-20,hot tapioca chips,malaysia,bangara enterprise malaysia,hydrocyanic acid,30,mg/kg,cas 092016,risk,nan,
2020-08-20,dried fish seer,sri lanka,derana marketing services,histamine,670,mg/kg,his 122016,risk,nan,
2020-08-20,pistachio kernels,iran,negin tejarat anahita company iran,aflatoxin,2.908,mg/kg,nut 112018,risk,nan,
2020-08-21,gluten free corn flakes,italy,dr schar agspa,vitamin b12,Not permitted in this food,,fsc 132,surveillance,nan,
2020-08-21,gluten free corn flakes,italy,dr schar agspa,pantothenic acid,Not permitted in this food,,fsc 132,surveillance,nan,
2020-08-21,bake time marble cake slices,pakistan,hilal foods,additive sodium benzoate,Not permitted in this food,,fsc 131,surveillance,nan,
2020-08-21,tapioca chips,india,malabar natural foods,hydrocyanic acid,69,mg/kg,cas 092019,risk,nan,
2020-08-21,gluten free corn flakes,italy,dr schar agspa,biotin,Not permitted in this food,,fsc 132,surveillance,nan,
2020-08-24,okra  small,eqypt,givrex robert mansour,chlorpyrifos,"0.02 
Exceeds permitted MRL",mg/kg,fsc 142,surveillance,nan,
2020-08-27,frozen cooked crawfish tail,china,guolian yiyang food,listeria monocytogenes,Detected,,cru 032019,risk,nan,
2020-08-27,frozen cooked crawfish tail,china,guolian yiyang food,standard plate count,"180000, 370000, 190000, 300000, 200000",mg/kg,cru 032019,risk,nan,
2020-08-28,frozen soft shell crab,myanmar,gallant ocean trading,nitrofurazone,"0.002 
Not permitted in this food",mg/kg,fsc 142,surveillance,nan,
2020-08-28,wheat flour pre cooked,sri lanka,dr exports,vitamin b12,Not permitted in this food,,fsc 132,surveillance,nan,
2020-08-28,dried balaya tuna,sri lanka,d r exports,histamine,600,mg/kg,his 122016,risk,nan,
2020-08-28,peanut,china,three squirrels food,aflatoxin,0.223,mg/kg,nut 112018,risk,nan,
2020-08-28,sesame tahini,eqypt,arabesq general trading export,salmonella,Detected,/125g,ses 052014,risk,nan,
2020-08-31,fermented bean curd,vietnam,tyh import export service,bacillus cereus,"3400, 4100,
7400, 7600,
6000",cfu/g,imported food control act section 3 2,surveillance,nan,
2020-08-31,masala peanuts,india,frumar marketing,aflatoxin,0.035,mg/kg,nut 112018,risk,nan,
2020-09-02,masala sing bhujiya,india,kartik enterprise,aflatoxin,0.07,mg/kg,nut 112018,risk,nan,
2020-09-02,wild raw rue,iran,farhad golestan,wild rue  peganum harmala,Prohibited plant,,fsc 144,surveillance,nan,
2020-09-03,dried anchovy,vietnam,taviuc,histamine,256,mg/kg,his 122016,risk,nan,
2020-09-03,bamboo clam,indonesia,pt mina jaya wysia,e coli,"2.3, <2.3, 4.3, 24, 2.3 ",mg/kg,mol 042017,risk,nan,
2020-09-03,dried anchovy,vietnam,saky foods company,histamine,251,mg/kg,his 122016,risk,nan,
2020-09-03,tapioca chips spicy,india,topper export,hydrocyanic acid,42,mg/kg,cas 092019,risk,nan,
2020-09-03,tapioca chips sticks,india,topper export,hydrocyanic acid,43,mg/kg,cas 092019,risk,nan,
2020-09-03,tapioca chips,india,topper export,hydrocyanic acid,17,mg/kg,cas 092019,risk,nan,
2020-09-03,betel nut,myanmar,city winner,areca catechu,Prohibited plant,,fsc 144,surveillance,nan,
2020-09-04,canned nori peanut,china,ningbo haishu jianfeng,aflatoxin,0.047,mg/kg,nut 112018,risk,nan,
2020-09-07,white clam whole,vietnam,dong phuong seafood company,e coli,"9.3, <2.3, <2.3, <2.3, <2.3",MPN/g,mol 042017,risk,nan,
2020-09-07,tasty spicy coated peanuts,india,bikanervala foods,aflatoxin,0.033,mg/kg,nut 112018,risk,nan,
2020-09-09,shred max super strength fat burner drink,united states,florida alternative medicine weight loss,caffeine,,,fsc 111,surveillance,nan,
2020-09-09,monamon dills salted anchovies,philippines,century pacific food,histamine,570,mg/kg,his 122016,risk,nan,
2020-09-09,shred max super strength fat burner drink,united states,florida alternative medicine weight loss,ltheanine,,,fsc 294,surveillance,nan,
2020-09-10,seaweed,china,fuzhou hailin food,iodine,3500,mg/kg,bsw 122016,risk,nan,
2020-09-10,gum black,japan,lotte,additive gardenia blue 165,Not permitted in this food,,fsc 131,surveillance,nan,
2020-09-10,plenny shake banana,netherlands,jimmy joy,vitamins b5,Not permitted in this food,,fsc 293,surveillance,nan,
2020-09-10,plenny shake strawberry,netherlands,jimmy joy,vitamins b5,Not permitted in this food,,fsc 293,surveillance,nan,
2020-09-10,plenny shake vanilla,netherlands,jimmy joy,vitamins b5,Not permitted in this food,,fsc 293,surveillance,nan,
2020-09-10,seaweed,china,fuzhou hailin food,iodine,1200,mg/kg,bsw 122016,risk,nan,
2020-09-10,seaweed,china,fuzhou hailin food,iodine,2600,mg/kg,bsw 122016,risk,nan,
2020-09-10,plenny shake chocolate,netherlands,jimmy joy,vitamins b5,Not permitted in this food,,fsc 293,surveillance,nan,
2020-09-11,fermented salted fish,philippines,fitrite incorporated philippines,histamine,242,mg/kg,his 122016,risk,nan,
